origin,destination,type,price,duration,main_attraction
Dehradun,Jaipur,car,3586,376,Amber Fort,City Palace
Chandigarh,Agra,train,1614,346,Taj Mahal,Agra Fort
Mumbai,Indore,flight,8366,101,Rajwada Palace,Lal Bagh Palace
Lucknow,Pune,car,5556,315,Shaniwar Wada,Aga Khan Palace
Amritsar,Indore,bus,914,753,Rajwada Palace,Lal Bagh Palace
Kashmir,Mumbai,bus,681,835,Gateway of India,Marine Drive
Dehradun,Bangalore,flight,3605,147,Bangalore Palace,Lalbagh Botanical Garden
Indore,Amritsar,flight,3573,196,Golden Temple,Jallianwala Bagh
Dehradun,Bhopal,flight,5149,161,Upper Lake,Bhimbetka Rock Shelters
Ahmedabad,Dehradun,train,1975,339,Robber's Cave,Forest Research Institute
Chandigarh,Kashmir,flight,8972,153,Pahalgam ,Dal Lake
Nagpur,Surat,flight,9027,168,Dumas Beach,Sarthana Nature Park
Indore,Lucknow,bus,1529,548,Bara Imambara,Chota Imambara
Bangalore,Chennai,bus,1672,551,Marina Beach,Kapaleeshwarar Temple
Surat,Kolkata,flight,7977,92,Victoria Memorial,Howrah Bridge
Delhi,Chandigarh,bus,1345,666,Rock Garden,Sukhna Lake
Mumbai,Delhi,flight,6172,97,Red Fort,Qutub Minar
Lucknow,Bangalore,flight,6226,79,Bangalore Palace,Lalbagh Botanical Garden
Kashmir,Kolkata,bus,565,381,Victoria Memorial,Howrah Bridge
Jaipur,Bhopal,bus,541,355,Upper Lake,Bhimbetka Rock Shelters
Dehradun,Pune,train,3053,814,Shaniwar Wada,Aga Khan Palace
Ahmedabad,Agra,train,3301,370,Taj Mahal,Agra Fort
Chandigarh,Nagpur,flight,8683,90,Deekshabhoomi,Ambazari Lake
Chandigarh,Delhi,bus,1648,630,Red Fort,Qutub Minar
Amritsar,Agra,train,2241,571,Taj Mahal,Agra Fort
Delhi,Pune,flight,5585,179,Shaniwar Wada,Aga Khan Palace
Bangalore,Pune,flight,5240,200,Shaniwar Wada,Aga Khan Palace
Indore,Surat,flight,5622,199,Dumas Beach,Sarthana Nature Park
Bhopal,Hyderabad,bus,1136,391,Charminar,Golkonda Fort
Ahmedabad,Lucknow,car,1673,405,Bara Imambara,Chota Imambara
Kashmir,Indore,bus,1893,810,Rajwada Palace,Lal Bagh Palace
Mumbai,Hyderabad,flight,8620,226,Charminar,Golkonda Fort
Kolkata,Surat,flight,8820,138,Dumas Beach,Sarthana Nature Park
Amritsar,Patna,bus,1403,382,Golghar,Nalanda University
Kolkata,Mumbai,bus,759,865,Gateway of India,Marine Drive
Bangalore,Mumbai,flight,4507,102,Gateway of India,Marine Drive
Bhopal,Delhi,flight,6308,224,Red Fort,Qutub Minar
Patna,Kolkata,flight,9417,229,Victoria Memorial,Howrah Bridge
Bhopal,Kashmir,flight,5348,91,Pahalgam ,Dal Lake
Lucknow,Chennai,flight,7774,62,Marina Beach,Kapaleeshwarar Temple
Pune,Patna,flight,3106,131,Golghar,Nalanda University
Ahmedabad,Agra,car,1802,418,Taj Mahal,Agra Fort
Chandigarh,Amritsar,train,1038,791,Golden Temple,Jallianwala Bagh
Pune,Ahmedabad,train,2095,785,Sabarmati Ashram,Adalaj Stepwell
Ahmedabad,Kolkata,car,3164,436,Victoria Memorial,Howrah Bridge
Indore,Nagpur,bus,1466,516,Deekshabhoomi,Ambazari Lake
Bangalore,Patna,flight,8153,77,Golghar,Nalanda University
Chandigarh,Hyderabad,flight,3887,189,Charminar,Golkonda Fort
Amritsar,Bhopal,flight,9963,94,Upper Lake,Bhimbetka Rock Shelters
Surat,Mumbai,bus,902,688,Gateway of India,Marine Drive
Amritsar,Indore,flight,8814,135,Rajwada Palace,Lal Bagh Palace
Pune,Amritsar,car,5549,474,Golden Temple,Jallianwala Bagh
Patna,Kolkata,flight,6411,128,Victoria Memorial,Howrah Bridge
Dehradun,Agra,train,2518,722,Taj Mahal,Agra Fort
Hyderabad,Amritsar,bus,658,611,Golden Temple,Jallianwala Bagh
Delhi,Lucknow,flight,5483,117,Bara Imambara,Chota Imambara
